name,age,gender,course,year,attendance,gpa_sem1,gpa_sem2,gpa_sem3,gpa_sem4,gpa_sem5,backlog_count,event_participation,dropout_thought,avg_gpa,event_score,has_backlog,risk_probability,predicted_risk_probability,risk_level
Ishaan Reddy,20,Female,BBA,1st Year,72,5.8,7.8,8.2,7.4,7.0,2.0,never,0,7.2,0,1,0.5640663925323409,0.57,Medium
Krishna Iyer,20,Male,BSc IT,3rd Year,73,6.8,7.3,6.6,6.6,7.5,0.0,regularly,0,7.0,3,0,0.26079779091754957,0.27,Low
Yash Desai,21,Female,BA,2nd Year,67,7.4,7.6,6.0,8.8,6.7,0.0,rarely,0,7.3,1,0,0.37135696491280723,0.37,Medium
Pooja Sharma,18,Female,BA,3rd Year,80,7.5,6.0,7.2,5.9,5.7,1.0,occasionally,0,6.5,2,1,0.42775459975387936,0.43,Medium
Aryan Kulkarni,19,Male,BA,3rd Year,70,5.0,7.0,7.8,7.4,5.3,1.0,never,0,6.5,0,1,0.5840561875318907,0.58,Medium
Pooja Khan,20,Female,BSc IT,2nd Year,86,7.2,5.7,5.3,7.1,6.4,2.0,regularly,0,6.3,3,1,0.4326169823213374,0.44,Medium
Yash Kapoor,18,Male,BA,3rd Year,52,7.7,6.1,7.1,6.6,8.0,0.0,rarely,0,7.1,1,0,0.4607257556202541,0.48,Medium
Kavya Chopra,18,Female,BA,1st Year,83,6.1,7.0,5.8,7.2,4.4,1.0,regularly,0,6.1,3,1,0.3929075246870966,0.38,Medium
Simran Malhotra,22,Female,BSc CS,1st Year,75,8.1,8.1,5.8,6.8,4.2,1.0,regularly,0,6.6,3,1,0.3733979650028513,0.38,Medium
Shreya Chopra,19,Male,BBA,2nd Year,73,6.0,6.2,6.3,6.6,6.5,0.0,occasionally,0,6.3,2,0,0.40270732659002906,0.4,Medium
Riya Nair,21,Female,BCom,3rd Year,78,5.2,6.3,8.5,7.4,7.4,1.0,occasionally,0,6.9,2,1,0.3791457814329021,0.38,Medium
Vikram Bansal,22,Male,BSc CS,2nd Year,75,7.0,5.6,5.3,6.9,6.7,1.0,occasionally,0,6.3,2,1,0.466548608818321,0.47,Medium
Simran Kulkarni,18,Male,BSc IT,3rd Year,74,8.3,4.6,8.2,8.0,5.7,0.0,never,0,7.0,0,0,0.43609868835729493,0.44,Medium
Harsh Gupta,19,Male,BSc CS,2nd Year,52,7.3,6.9,9.4,6.6,6.1,1.0,occasionally,0,7.3,2,1,0.4573190863523125,0.45,Medium
Varun Kapoor,19,Female,BSc CS,2nd Year,69,7.3,7.5,7.0,6.6,6.6,1.0,never,0,7.0,0,1,0.5283338836029656,0.53,Medium
Aryan Malhotra,19,Female,BBA,2nd Year,97,6.0,7.0,7.9,7.9,7.0,2.0,never,0,7.2,0,1,0.4580394393252692,0.45,Medium
Harsh Singh,22,Male,BA,1st Year,60,7.5,8.9,5.8,6.2,7.2,1.0,never,1,7.1,0,1,0.5553020980280338,0.54,Medium
Harsh Patel,19,Male,BCom,3rd Year,73,7.0,8.6,8.5,5.8,7.5,0.0,rarely,0,7.5,1,0,0.3194315214455083,0.33,Medium
Simran Chopra,18,Female,BBA,1st Year,57,7.3,8.0,5.7,8.0,5.9,1.0,occasionally,0,7.0,2,1,0.4645376234354834,0.46,Medium
Diya Pandey,18,Female,BSc CS,2nd Year,68,9.2,4.7,7.7,7.2,7.8,0.0,rarely,0,7.3,1,0,0.3634931116246961,0.37,Medium
Meera Singh,20,Female,BSc CS,1st Year,78,6.1,6.6,8.0,9.5,7.9,2.0,rarely,0,7.6,1,1,0.4295104601254614,0.44,Medium
Arjun Verma,19,Female,BBA,3rd Year,68,7.4,8.1,7.0,7.2,9.0,1.0,rarely,0,7.7,1,1,0.38600414202959454,0.39,Medium
Shreya Reddy,20,Female,BBA,3rd Year,49,6.4,7.1,5.6,8.7,9.3,1.0,occasionally,0,7.4,2,1,0.44951526247861456,0.45,Medium
Ananya Bansal,22,Female,BBA,3rd Year,73,6.6,4.6,6.6,5.7,6.2,4.0,never,1,5.9,0,1,0.8692559354083502,0.83,High
Diya Jain,18,Female,BSc CS,3rd Year,73,6.4,5.7,7.9,7.2,4.2,2.0,never,0,6.3,0,1,0.6788426328901163,0.67,High
Shreya Jain,19,Female,BSc CS,1st Year,55,6.7,5.8,6.9,7.8,7.0,0.0,regularly,0,6.9,3,0,0.3551940450820902,0.36,Medium
Manav Agarwal,19,Male,BA,1st Year,100,6.0,7.6,6.3,6.8,8.7,1.0,occasionally,0,7.1,2,1,0.2594471290932557,0.26,Low
Krishna Pandey,21,Male,BBA,3rd Year,55,4.8,6.9,8.5,7.0,7.3,1.0,regularly,0,6.9,3,1,0.42526337905573725,0.42,Medium
Karan Mishra,19,Male,BSc CS,2nd Year,81,7.4,8.5,7.9,7.5,6.8,0.0,occasionally,0,7.6,2,0,0.20671128853138027,0.2,Low
Aryan Pandey,21,Male,BBA,1st Year,84,7.2,7.3,5.6,7.2,8.2,1.0,rarely,0,7.1,1,1,0.3890056127502476,0.38,Medium
Neha Singh,21,Female,BSc CS,3rd Year,73,7.4,5.7,8.5,3.7,6.9,0.0,rarely,0,6.4,1,0,0.44687396824443965,0.44,Medium
Vikram Malhotra,21,Male,BSc CS,1st Year,80,7.8,7.0,8.1,8.8,5.5,1.0,occasionally,0,7.4,2,1,0.3078008224029774,0.31,Medium
Yash Mehta,19,Male,BCom,1st Year,73,5.1,7.1,7.5,8.2,6.4,0.0,occasionally,0,6.9,2,0,0.3364348530780082,0.33,Medium
Manav Desai,21,Male,BSc CS,3rd Year,62,9.0,6.6,10.0,7.0,5.8,1.0,rarely,0,7.7,1,1,0.41603385658972886,0.42,Medium
Tanvi Mehta,18,Female,BCom,2nd Year,58,6.4,9.0,5.5,7.5,9.1,0.0,never,1,7.5,0,0,0.44415763724224866,0.44,Medium
Karan Verma,19,Male,BSc IT,3rd Year,79,7.2,8.5,7.7,6.4,6.3,1.0,occasionally,0,7.2,2,1,0.33880601494732415,0.35,Medium
Akash Bansal,21,Female,BSc CS,2nd Year,89,8.2,8.3,9.2,8.4,7.8,1.0,regularly,0,8.4,3,1,0.09732268811717716,0.11,Low
Tanvi Kulkarni,19,Female,BSc CS,2nd Year,83,6.4,7.0,7.8,5.6,6.1,2.0,regularly,0,6.6,3,1,0.41217696671368953,0.42,Medium
Harsh Khan,21,Male,BSc CS,2nd Year,57,6.7,7.5,7.4,6.1,8.7,2.0,regularly,0,7.3,3,1,0.4451781372872707,0.45,Medium
Kavya Agarwal,22,Male,BCom,3rd Year,72,6.9,6.6,7.0,6.3,5.9,1.0,never,0,6.5,0,1,0.5740913047393222,0.57,Medium
Shreya Gupta,22,Male,BSc IT,2nd Year,97,8.6,7.9,7.2,7.7,6.9,0.0,occasionally,0,7.7,2,0,0.12895818951286128,0.13,Low
Aarav Kulkarni,18,Female,BSc IT,1st Year,72,7.0,7.7,4.8,8.2,6.5,0.0,regularly,0,6.9,3,0,0.2812528138788007,0.28,Low
Varun Malhotra,21,Female,BBA,2nd Year,94,6.1,6.8,7.6,6.7,8.2,0.0,occasionally,0,7.1,2,0,0.21059819311462602,0.21,Low
Yash Verma,22,Male,BA,3rd Year,73,6.9,5.5,7.8,7.0,7.2,1.0,regularly,0,6.9,3,1,0.34558933877600007,0.35,Medium
Shreya Malhotra,20,Male,BCom,2nd Year,73,8.3,5.4,6.1,5.7,7.4,0.0,occasionally,0,6.6,2,0,0.37269261938349785,0.37,Medium
Anjali Tiwari,22,Female,BSc CS,3rd Year,52,4.6,8.6,7.1,7.5,6.0,1.0,occasionally,0,6.7,2,1,0.5188942581865114,0.52,Medium
Harsh Agarwal,22,Female,BBA,3rd Year,82,6.0,5.7,8.5,8.3,8.2,1.0,regularly,0,7.3,3,1,0.250997989014617,0.25,Low
Pooja Iyer,18,Female,BBA,1st Year,67,6.0,8.0,6.7,7.1,6.6,1.0,regularly,0,6.9,3,1,0.3721673620073836,0.37,Medium
Riya Jain,20,Male,BCom,3rd Year,83,6.0,4.8,4.4,7.9,7.0,2.0,rarely,0,6.0,1,1,0.6011045412252003,0.61,High
Aisha Gupta,21,Female,BSc IT,1st Year,83,7.2,7.9,4.9,7.2,7.5,1.0,never,0,6.9,0,1,0.4785394843473302,0.48,Medium
Priya Agarwal,20,Male,BA,3rd Year,66,6.2,7.0,7.0,7.7,7.8,2.0,occasionally,0,7.1,2,1,0.48007023441486324,0.47,Medium
Rahul Mishra,22,Female,BSc CS,2nd Year,78,7.5,6.8,6.1,7.0,6.8,0.0,regularly,0,6.8,3,0,0.25155326109793796,0.25,Low
Tanvi Desai,20,Female,BCom,1st Year,65,5.8,5.6,6.4,7.4,9.3,1.0,never,1,6.9,0,1,0.5640513851787375,0.56,Medium
Akash Nair,18,Male,BSc IT,1st Year,90,6.6,6.4,6.1,6.8,6.5,1.0,rarely,0,6.5,1,1,0.43671398985502885,0.43,Medium
Harsh Agarwal,20,Female,BCom,1st Year,100,8.8,8.6,6.4,8.7,8.1,1.0,never,0,8.1,0,1,0.2575261878320375,0.28,Low
Aisha Reddy,20,Male,BA,1st Year,73,7.7,6.8,5.4,6.9,8.2,1.0,occasionally,0,7.0,2,1,0.39466338505867876,0.39,Medium
Neha Gupta,22,Male,BSc IT,1st Year,56,9.1,7.8,5.6,8.0,6.1,0.0,rarely,0,7.3,1,0,0.41717441546357703,0.42,Medium
Manav Gupta,20,Male,BSc CS,2nd Year,100,6.3,9.1,6.9,5.0,7.6,0.0,never,0,7.0,0,0,0.31863613170453525,0.32,Medium
Vivaan Pandey,20,Female,BCom,1st Year,100,6.9,7.7,6.5,7.4,7.4,2.0,regularly,0,7.2,3,1,0.2653300117057358,0.27,Low
Varun Joshi,19,Female,BSc CS,2nd Year,95,9.0,6.6,7.6,6.3,6.1,3.0,occasionally,0,7.1,2,1,0.4265690188192214,0.43,Medium
Arjun Tiwari,19,Female,BSc CS,3rd Year,97,6.4,9.3,6.4,7.0,7.8,2.0,never,0,7.4,0,1,0.43611369571089825,0.44,Medium
Arjun Mehta,19,Male,BBA,1st Year,92,7.4,6.6,7.4,7.0,6.5,1.0,rarely,0,7.0,1,1,0.36816039859531174,0.37,Medium
Neha Gupta,20,Male,BSc CS,3rd Year,95,9.7,9.2,6.9,8.3,6.2,0.0,regularly,0,8.1,3,0,0.03261097937989592,0.05,Low
Riya Tiwari,19,Male,BBA,2nd Year,69,9.9,6.0,8.4,8.0,7.0,2.0,never,0,7.9,0,1,0.5031065221958761,0.5,Medium
Neha Tiwari,20,Male,BCom,3rd Year,60,5.8,5.2,8.6,7.7,7.9,0.0,regularly,0,7.1,3,0,0.30861121949755377,0.31,Medium
Rohan Sharma,19,Male,BA,1st Year,66,7.2,8.5,8.1,7.0,7.2,1.0,occasionally,0,7.6,2,1,0.35349821412492105,0.35,Medium
Rahul Nair,18,Female,BBA,3rd Year,73,7.3,6.2,5.4,6.9,9.0,0.0,never,0,7.0,0,0,0.44376744604856366,0.45,Medium
Sneha Joshi,22,Male,BSc CS,1st Year,64,8.7,7.2,7.2,5.2,7.0,3.0,occasionally,1,7.0,2,1,0.5765074886694481,0.57,Medium
Manav Pandey,19,Female,BA,3rd Year,73,6.9,7.0,5.5,5.9,7.7,0.0,rarely,0,6.6,1,0,0.42683915118408017,0.42,Medium
Nisha Chopra,19,Female,BSc CS,3rd Year,69,6.8,7.1,4.6,6.2,7.2,1.0,occasionally,0,6.4,2,1,0.48817420536062667,0.48,Medium
Krishna Joshi,18,Male,BBA,2nd Year,77,7.2,5.5,7.0,7.8,7.0,1.0,occasionally,0,6.9,2,1,0.3842032595972026,0.38,Medium
Aisha Khan,20,Male,BSc CS,2nd Year,68,6.8,8.6,7.1,7.2,5.3,0.0,occasionally,0,7.0,2,0,0.34213764744724906,0.34,Medium
Varun Saxena,22,Female,BA,3rd Year,59,6.7,7.6,7.2,7.4,6.6,1.0,rarely,0,7.1,1,1,0.5019809706756312,0.5,Medium
Rohan Kulkarni,18,Male,BBA,1st Year,90,7.2,7.1,6.4,8.0,4.8,0.0,regularly,0,6.7,3,0,0.21883723024281898,0.22,Low
Riya Saxena,19,Male,BBA,3rd Year,89,6.7,9.2,7.1,7.1,6.3,0.0,occasionally,0,7.3,2,0,0.2139748476753608,0.21,Low
Kavya Shah,20,Female,BBA,1st Year,50,7.8,7.1,6.5,7.4,8.9,4.0,never,1,7.6,0,1,0.7711528649038029,0.76,High
Aisha Khan,18,Female,BSc CS,1st Year,73,5.0,7.3,8.5,7.0,6.3,0.0,occasionally,0,6.8,2,0,0.3395563826274874,0.34,Medium
Sneha Malhotra,19,Male,BSc CS,3rd Year,67,7.0,8.3,6.6,4.3,6.8,2.0,occasionally,0,6.6,2,1,0.540910045922502,0.54,Medium
Vikram Khan,22,Male,BCom,1st Year,94,7.7,7.4,7.8,4.9,7.2,2.0,rarely,0,7.0,1,1,0.4330521955758321,0.43,Medium
Anjali Joshi,21,Female,BCom,3rd Year,63,7.9,7.0,8.2,7.6,7.4,1.0,occasionally,0,7.6,2,1,0.36338806014947317,0.36,Medium
Neha Saxena,20,Male,BSc CS,1st Year,73,5.8,6.3,7.0,7.0,8.6,0.0,occasionally,0,6.9,2,0,0.3258696761413092,0.33,Medium
Kavya Verma,20,Male,BA,2nd Year,80,7.1,5.7,6.2,8.7,9.8,1.0,occasionally,0,7.5,2,1,0.2956448659843322,0.29,Low
Tanvi Joshi,19,Male,BCom,1st Year,100,7.2,7.4,5.9,7.3,6.2,1.0,never,0,6.8,0,1,0.41312242999069543,0.42,Medium
Meera Jain,18,Male,BBA,3rd Year,64,7.7,6.1,7.0,8.5,7.5,1.0,regularly,0,7.4,3,1,0.3267100879430919,0.33,Medium
Anjali Singh,22,Female,BCom,3rd Year,85,5.8,6.0,7.0,5.8,7.5,1.0,never,1,6.4,0,1,0.5281988174205361,0.53,Medium
Meera Joshi,21,Male,BBA,1st Year,83,7.9,8.3,6.4,4.8,7.5,1.0,never,0,7.0,0,1,0.4732268811717741,0.48,Medium
Meera Chopra,21,Female,BBA,3rd Year,83,7.8,7.8,7.0,5.0,7.2,0.0,occasionally,0,6.9,2,0,0.2780862622685114,0.28,Low
Simran Malhotra,19,Male,BSc IT,1st Year,73,8.7,7.0,9.7,5.8,7.4,0.0,rarely,0,7.7,1,0,0.2888915568628628,0.3,Low
Shreya Bansal,21,Female,BSc IT,3rd Year,64,6.0,9.6,6.7,6.2,7.0,0.0,regularly,0,7.1,3,0,0.2844944022571058,0.28,Low
Anjali Bansal,20,Female,BBA,2nd Year,58,9.0,6.7,6.4,4.9,7.4,0.0,never,0,6.9,0,0,0.5168532580964672,0.52,Medium
Neha Desai,18,Female,BBA,2nd Year,77,7.6,6.4,5.8,8.4,7.8,1.0,rarely,0,7.2,1,1,0.4133475402947444,0.41,Medium
Vikram Sharma,18,Male,BBA,1st Year,71,7.1,6.8,6.9,6.8,5.8,1.0,rarely,0,6.7,1,1,0.49735870576582525,0.5,Medium
Arjun Nair,22,Male,BCom,3rd Year,59,5.8,6.6,3.3,7.5,6.2,2.0,regularly,1,5.9,3,1,0.6073325929705556,0.6,Medium
Siddharth Joshi,18,Male,BSc CS,1st Year,100,7.9,8.0,7.2,6.4,7.9,1.0,rarely,0,7.5,1,1,0.274334423867695,0.28,Low
Aditya Agarwal,19,Male,BCom,1st Year,64,6.6,4.2,7.7,5.8,7.0,0.0,rarely,0,6.3,1,0,0.5043821472521535,0.5,Medium
Rahul Chopra,19,Female,BSc IT,3rd Year,73,6.0,6.3,4.5,6.6,7.0,0.0,occasionally,0,6.1,2,0,0.429600504247081,0.42,Medium
Aryan Pandey,21,Male,BBA,3rd Year,59,6.8,5.8,7.0,6.8,8.3,0.0,occasionally,0,6.9,2,0,0.3843233184260286,0.39,Medium
Aryan Joshi,19,Male,BSc IT,2nd Year,63,7.3,7.0,8.0,7.3,7.0,2.0,occasionally,0,7.3,2,1,0.4752978959690249,0.48,Medium
Anjali Jain,20,Female,BCom,1st Year,81,9.0,5.0,7.2,6.5,6.4,1.0,rarely,0,6.8,1,1,0.43372752648797913,0.43,Medium
Vivaan Nair,19,Male,BA,1st Year,84,7.9,6.3,8.7,6.2,8.7,1.0,rarely,0,7.6,1,1,0.3361347060059428,0.34,Medium
Aarav Shah,21,Female,BCom,1st Year,48,8.4,7.4,4.8,8.5,6.7,0.0,never,1,7.2,0,0,0.5306600234114716,0.53,Medium
Neha Mishra,22,Female,BA,2nd Year,90,8.0,7.0,6.8,5.9,5.9,1.0,rarely,0,6.7,1,1,0.4092805474682594,0.42,Medium
Aryan Iyer,19,Male,BBA,1st Year,73,7.7,8.9,4.4,7.6,6.4,0.0,never,0,7.0,0,0,0.4423267401026501,0.44,Medium
Aisha Shah,21,Male,BCom,3rd Year,51,5.8,9.1,8.8,9.7,5.7,1.0,never,1,7.8,0,1,0.5151724344929016,0.49,Medium
Manav Gupta,22,Male,BSc CS,3rd Year,75,6.4,7.3,8.6,8.0,6.2,1.0,occasionally,0,7.3,2,1,0.3462346549809407,0.35,Medium
Aditya Saxena,22,Female,BSc CS,1st Year,97,6.0,6.2,8.2,7.8,6.6,1.0,occasionally,0,7.0,2,1,0.2892067112885314,0.28,Low
Arjun Iyer,18,Female,BSc IT,1st Year,71,10.0,5.7,7.6,4.3,9.2,1.0,rarely,0,7.4,1,1,0.4190653420175884,0.42,Medium
Arjun Kulkarni,20,Male,BCom,3rd Year,77,8.1,9.4,7.0,7.0,7.7,4.0,regularly,0,7.8,3,1,0.4407059459134976,0.43,Medium
Priya Reddy,21,Female,BBA,1st Year,92,6.5,5.3,8.5,5.9,6.5,0.0,regularly,0,6.5,3,0,0.22754149533271278,0.23,Low
Ananya Agarwal,19,Female,BBA,3rd Year,66,8.4,6.2,6.5,9.8,6.2,4.0,regularly,0,7.4,3,1,0.5390041120148874,0.54,Medium
Varun Singh,19,Female,BA,1st Year,75,7.7,9.8,5.3,5.2,5.7,1.0,never,0,6.7,0,1,0.5392442296725397,0.54,Medium
Siddharth Kapoor,22,Male,BSc IT,2nd Year,95,5.4,7.5,7.8,7.1,4.6,0.0,regularly,0,6.4,3,0,0.22587567908275047,0.23,Low
Aryan Tiwari,20,Male,BA,2nd Year,78,6.5,7.1,7.0,6.0,9.0,2.0,never,0,7.1,0,1,0.5519554581745053,0.55,Medium
Anjali Kulkarni,19,Male,BSc CS,2nd Year,41,4.0,8.3,6.2,6.4,9.3,1.0,never,1,6.8,0,1,0.679382897619834,0.67,High
Pooja Saxena,19,Female,BBA,3rd Year,73,7.4,4.6,6.8,7.7,6.8,0.0,occasionally,0,6.7,2,0,0.3599663835279287,0.36,Medium
Aditya Joshi,19,Male,BCom,3rd Year,69,7.9,8.8,3.9,7.1,4.9,1.0,rarely,0,6.5,1,1,0.5283338836029655,0.53,Medium
Simran Gupta,18,Male,BA,2nd Year,54,7.9,7.9,5.2,5.4,4.5,0.0,never,1,6.2,0,0,0.6187381817090375,0.61,High
Aryan Kapoor,19,Female,BSc CS,1st Year,92,4.2,7.7,6.6,7.0,7.2,2.0,rarely,0,6.5,1,1,0.4965333013176456,0.5,Medium
Karan Saxena,20,Male,BCom,3rd Year,73,8.8,7.9,7.4,7.8,7.8,3.0,never,1,7.9,0,1,0.5529009214515113,0.56,Medium
Akash Kulkarni,19,Male,BSc CS,3rd Year,72,7.0,9.1,6.0,6.7,5.9,0.0,occasionally,0,6.9,2,0,0.32849596302188083,0.33,Medium
Shreya Mehta,21,Female,BCom,1st Year,84,6.5,10.0,6.9,8.4,6.4,2.0,occasionally,0,7.6,2,1,0.34108713269502033,0.34,Medium
Vivaan Tiwari,19,Male,BSc IT,2nd Year,82,6.9,6.7,6.9,6.0,5.2,1.0,regularly,0,6.4,3,1,0.3679803103520724,0.36,Medium
Aryan Singh,20,Male,BSc CS,3rd Year,65,8.6,6.0,7.0,9.0,4.7,1.0,rarely,0,7.0,1,1,0.48488759492151146,0.49,Medium
Diya Kulkarni,19,Female,BSc IT,1st Year,69,8.1,5.7,7.0,7.1,5.5,1.0,regularly,0,6.7,3,1,0.38797010535162224,0.38,Medium
Meera Kulkarni,18,Male,BA,3rd Year,65,9.5,6.6,7.0,6.9,5.4,1.0,regularly,0,7.1,3,1,0.35770027313383546,0.36,Medium
Vikram Saxena,22,Female,BBA,1st Year,80,5.8,6.6,6.2,8.0,6.1,0.0,regularly,0,6.6,3,0,0.279301857910376,0.28,Low
Krishna Iyer,19,Male,BSc IT,2nd Year,73,6.9,7.3,6.7,8.2,7.1,0.0,occasionally,0,7.3,2,0,0.28817120388990597,0.29,Low
Aisha Gupta,19,Male,BBA,1st Year,92,8.2,8.2,7.2,5.8,9.2,0.0,regularly,0,7.7,3,0,0.08584206261067924,0.09,Low
Priya Verma,21,Female,BA,1st Year,87,7.4,7.0,6.4,9.5,7.1,0.0,rarely,0,7.5,1,0,0.2590419305459674,0.27,Low
Tanvi Agarwal,22,Male,BA,1st Year,81,6.9,7.0,7.0,7.1,8.3,0.0,never,0,7.3,0,0,0.3681003691808986,0.37,Medium
Neha Patel,18,Male,BSc IT,1st Year,56,6.6,7.7,7.0,8.7,6.6,2.0,rarely,0,7.3,1,1,0.5680583485908096,0.56,Medium
Tanvi Singh,20,Male,BBA,3rd Year,69,9.9,7.0,7.4,9.5,6.7,1.0,rarely,0,8.1,1,1,0.33876099288651434,0.35,Medium
Aarav Iyer,21,Male,BBA,1st Year,66,6.6,6.9,8.1,7.5,6.5,1.0,regularly,0,7.1,3,1,0.34653480205300596,0.35,Medium
Harsh Chopra,18,Female,BSc CS,3rd Year,97,7.9,7.6,7.3,8.4,7.0,1.0,occasionally,0,7.6,2,1,0.20734159738271735,0.21,Low
Rahul Patel,20,Female,BBA,3rd Year,68,6.7,9.5,5.7,7.4,5.2,1.0,occasionally,0,6.9,2,1,0.42933037188222234,0.43,Medium
Vivaan Tiwari,20,Female,BBA,3rd Year,63,5.9,6.9,7.0,8.8,6.1,1.0,occasionally,0,6.9,2,1,0.44475793138637915,0.44,Medium
Aarav Joshi,19,Male,BA,1st Year,60,7.4,5.0,7.5,5.7,7.0,1.0,rarely,0,6.5,1,1,0.5675931206291084,0.56,Medium
Diya Iyer,20,Male,BSc CS,1st Year,68,7.0,6.8,8.0,7.3,5.3,0.0,never,0,6.9,0,0,0.47486268271453014,0.47,Medium
Nisha Mehta,22,Female,BCom,3rd Year,54,6.8,5.0,7.0,5.4,7.6,2.0,regularly,1,6.4,3,1,0.5725005252573762,0.59,Medium
Harsh Khan,21,Female,BSc CS,1st Year,79,5.1,7.0,5.5,8.2,7.5,1.0,rarely,0,6.6,1,1,0.4693549839421316,0.48,Medium
Nisha Joshi,22,Male,BA,1st Year,80,7.2,4.7,6.4,6.9,8.2,1.0,occasionally,0,6.7,2,1,0.4018669147882463,0.4,Medium
Riya Tiwari,18,Female,BA,2nd Year,85,7.9,7.0,6.7,6.2,8.3,0.0,occasionally,0,7.2,2,0,0.23530029714560122,0.24,Low
Shreya Khan,19,Male,BSc CS,2nd Year,85,7.5,6.0,4.1,7.4,6.8,1.0,regularly,0,6.4,3,1,0.3528228832127742,0.36,Medium
Aisha Verma,19,Male,BSc IT,1st Year,59,5.0,6.8,7.4,8.1,5.7,1.0,regularly,0,6.6,3,1,0.43994057087973115,0.43,Medium
Sneha Pandey,18,Male,BSc IT,3rd Year,88,6.3,7.6,6.8,6.4,7.5,1.0,regularly,0,6.9,3,1,0.27430440916048837,0.27,Low
Neha Jain,20,Female,BCom,1st Year,92,7.9,8.2,8.1,7.4,6.2,0.0,occasionally,0,7.6,2,0,0.16581624996248154,0.17,Low
Yash Pandey,21,Female,BSc IT,2nd Year,80,7.6,7.5,6.8,4.6,5.9,2.0,never,0,6.5,0,1,0.6190683434883093,0.62,High
Ishaan Nair,22,Female,BBA,1st Year,46,7.6,6.0,6.1,4.5,7.6,1.0,never,1,6.3,0,1,0.7134495902992466,0.71,High
Shreya Desai,19,Female,BSc IT,2nd Year,82,6.1,7.7,6.1,3.7,5.5,2.0,regularly,0,5.8,3,1,0.5084641474322418,0.5,Medium
Vikram Desai,20,Male,BCom,3rd Year,69,8.2,7.0,7.4,7.2,6.2,1.0,occasionally,0,7.2,2,1,0.3845184140228712,0.38,Medium
Yash Iyer,20,Female,BSc CS,2nd Year,37,6.0,7.0,7.1,8.3,6.6,0.0,occasionally,0,7.0,2,0,0.47807425638562895,0.47,Medium
Varun Kapoor,20,Male,BSc IT,1st Year,71,6.6,7.6,7.2,7.3,8.4,2.0,regularly,0,7.4,3,1,0.36247261157967375,0.37,Medium
Simran Shah,20,Female,BBA,2nd Year,52,9.2,6.6,8.0,8.5,7.0,1.0,rarely,0,7.9,1,1,0.44310712249002016,0.45,Medium
Vikram Shah,19,Female,BA,1st Year,88,7.5,7.6,7.0,6.2,7.5,2.0,never,0,7.1,0,1,0.5004202059008915,0.49,Medium
Aditya Patel,20,Female,BA,1st Year,44,6.1,6.3,8.2,8.1,7.0,3.0,occasionally,1,7.1,2,1,0.658882852597773,0.65,High
Neha Malhotra,20,Female,BA,3rd Year,80,8.3,6.3,6.8,5.6,8.4,1.0,never,0,7.1,0,1,0.4688447339196207,0.47,Medium
Simran Saxena,21,Male,BBA,2nd Year,61,6.3,8.6,8.3,6.6,6.3,0.0,occasionally,0,7.2,2,0,0.3458744784944623,0.34,Medium
Diya Malhotra,22,Female,BSc IT,2nd Year,71,8.6,6.8,8.2,6.6,9.2,0.0,occasionally,0,7.9,2,0,0.2229492451301136,0.23,Low
Aryan Saxena,18,Male,BA,1st Year,72,7.4,6.7,5.4,5.7,5.9,0.0,never,0,6.2,0,0,0.5343668397514783,0.52,Medium
Manav Jain,22,Female,BSc CS,1st Year,85,8.0,7.7,7.8,8.3,7.4,1.0,rarely,0,7.8,1,1,0.2968304469189904,0.3,Low
Aarav Singh,18,Female,BSc CS,1st Year,70,7.3,5.5,5.7,6.8,5.5,2.0,regularly,0,6.2,3,1,0.5215355524206862,0.52,Medium
Harsh Bansal,22,Female,BCom,3rd Year,86,7.9,6.3,9.3,7.3,8.0,2.0,never,0,7.8,0,1,0.43351742353753325,0.43,Medium
Priya Singh,21,Female,BSc IT,3rd Year,48,6.4,5.6,7.1,5.2,8.3,0.0,occasionally,0,6.5,2,0,0.4881141759462136,0.48,Medium
Aisha Shah,20,Male,BA,1st Year,90,5.1,5.9,8.7,8.2,7.6,1.0,never,0,7.1,0,1,0.4228171804184051,0.42,Medium
Meera Singh,18,Male,BSc CS,3rd Year,73,6.2,7.8,7.4,5.5,6.0,1.0,occasionally,0,6.6,2,1,0.43988054146531796,0.44,Medium
Aisha Malhotra,22,Female,BBA,3rd Year,62,6.4,6.5,6.0,4.9,8.4,0.0,regularly,0,6.4,3,0,0.3756040459825314,0.38,Medium
Siddharth Gupta,22,Female,BSc CS,3rd Year,35,6.1,7.6,9.0,7.0,7.1,1.0,occasionally,0,7.4,2,1,0.520515052375664,0.52,Medium
Varun Shah,21,Male,BSc CS,1st Year,72,6.6,6.6,8.9,7.1,9.2,1.0,rarely,0,7.7,1,1,0.37225740612900315,0.38,Medium
Aarav Mishra,19,Male,BSc CS,1st Year,69,6.7,8.4,7.0,6.3,7.1,2.0,regularly,0,7.1,3,1,0.41333253294114103,0.41,Medium
Vikram Tiwari,22,Female,BBA,2nd Year,87,8.0,9.5,7.2,8.6,5.5,0.0,rarely,0,7.8,1,0,0.22258906864363523,0.23,Low
Neha Reddy,19,Female,BCom,2nd Year,73,7.0,7.0,6.8,8.2,6.6,1.0,occasionally,0,7.1,2,1,0.38157697271663094,0.38,Medium
Simran Mishra,20,Female,BBA,3rd Year,82,8.2,7.8,6.0,6.0,8.0,0.0,regularly,0,7.2,3,0,0.18834228772098327,0.18,Low
